price_btc,price_usd,total_supply,percent_change_7d,available_supply,symbol,24h_volume_usd,rank,percent_change_1h,id,market_cap_usd,percent_change_24h,name,last_updated
0.00082726,2.14377,53932472.0,3.23,53932472.0,PIVX,537839.0,40,1.96,pivx,115618815.0,11.06,PIVX,1501152560
0.00004456,0.115465,998999495.0,7.6,998999495.0,ARDR,1430760.0,41,0.11,ardor,115349477.0,4.29,Ardor,1501152565
0.00004232,0.109671,998999983.0,9.66,998999983.0,NXT,6825210.0,42,1.69,nxt,109561327.0,3.88,Nxt,1501152544
0.00037742,0.978052,205218256.0,44.21,104661310.0,PAY,1614200.0,43,2.34,tenx,102364204.0,10.78,TenX,1501152584
0.00081372,2.10868,100000000.0,-19.64,48235104.0,MCAP,448206.0,44,3.08,mcap,101712399.0,8.36,MCAP,1501152581
0.00099289,2.57299,53252246.0,15.74,37004027.0,PPT,610040.0,45,1.83,populous,95210991.0,17.02,Populous,1501152586
0.00035644,0.923681,100945510.0,-21.94,100945510.0,KMD,240451.0,46,-2.17,komodo,93241450.0,1.31,Komodo,1501152574
0.0016371,4.24239,66588888.0,15.84,21088888.0,MTL,683813.0,47,1.76,metal,89467288.0,-0.52,Metal,1501152585
0.00033598,0.870654,100000000.0,2.61,94869691.0,MGO,227903.0,48,0.62,mobilego,82598676.0,3.47,MobileGo,1501152582
0.00075765,1.96338,79384422.0,-2.71,40772871.0,BNT,1354730.0,49,1.73,bancor,80052639.0,2.44,Bancor,1501152583
0.00010012,0.259452,218405912.0,-25.23,300000000.0,BDL,21568.3,50,1.52,bitdeal,77835600.0,2.12,Bitdeal,1501152586
0.00004297,0.111358,1000000000.0,3.45,600000000.0,SNGLS,330764.0,51,2.93,singulardtv,66814800.0,3.01,SingularDTV,1501152568
0.00029484,0.764041,93468691.0,-13.86,85558371.0,1ST,3689860.0,52,0.97,firstblood,65370103.0,4.12,FirstBlood,1501152568
0.00009301,0.241015,1285690000.0,-2.52,250490536.0,LKK,109475.0,53,-0.09,lykke,60371977.0,-0.05,Lykke,1501152570
0.00067956,1.76102,39609523.0,-10.17,33605167.0,ANT,351248.0,54,-0.06,aragon,59179371.0,2.99,Aragon,1501152582
0.00004229,0.109579,526404620.0,24.77,526404620.0,SYS,849535.0,55,0.95,syscoin,57682892.0,5.44,SysCoin,1501152552
0.00006536,0.169385,1000000000.0,6.84,339351836.0,CVC,1102590.0,56,2.2,civic,57481111.0,2.46,Civic,1501152587
0.0171477,44.4366,1288862.0,-9.85,1288862.0,BTCD,50916.3,57,0.91,bitcoindark,57272653.0,4.12,BitcoinDark,1501152548
0.00037705,0.977091,73197775.0,10.93,51306089.0,DCT,1923240.0,58,1.63,decent,50130718.0,6.44,DECENT,1501152571
0.00018404,0.476919,127745010.0,0.09,96495010.0,ARK,145388.0,59,1.27,ark,46020304.0,0.88,Ark,1501152577
0.00034496,0.893941,51244728.0,24.09,51244728.0,NXS,73650.6,60,0.15,nexus,45809763.0,6.47,Nexus,1501152556
0.00019805,0.513233,95747118.0,3.47,87389700.0,LEO,238026.0,61,-0.18,leocoin,44851278.0,1.25,LEOcoin,1501152557
0.00045985,1.19166,37537269.0,3.15,37537269.0,UBQ,144487.0,62,2.71,ubiq,44731662.0,1.34,Ubiq,1501152553
0.00221085,5.72921,8644985.0,,7648985.0,PART,92395.9,63,3.23,particl,43822641.0,9.99,Particl,1501152587
0.00415164,10.7586,10083758.0,108.75,3960334.0,BLOCK,686975.0,64,3.75,blocknet,42607644.0,42.13,Blocknet,1501152551
0.00000428,0.0110849,17173696076.0,-6.61,3839463249.0,FUN,440868.0,65,-0.24,funfair,42560066.0,5.05,FunFair,1501152584
0.00066978,1.73568,24232028.0,-6.54,24232028.0,PPC,258071.0,66,0.67,peercoin,42059046.0,0.21,Peercoin,1501152541
0.00038385,0.994711,40445725.0,-0.57,40445725.0,EMC,230167.0,67,1.94,emercoin,40231807.0,9.61,Emercoin,1501152554
0.00000113,0.00292955,13409472280.0,4.33,13409472280.0,XVG,436819.0,68,1.58,verge,39283720.0,3.78,Verge,1501152551
0.00020003,0.518373,100000000.0,14.4,75000000.0,XAS,2998350.0,69,-0.03,asch,38877975.0,26.33,Asch,1501152577
0.00017834,0.46214,132046997.0,-9.34,82046288.0,EDG,309767.0,70,2.75,edgeless,37916872.0,4.4,Edgeless,1501152577
0.00001672,0.0433387,1000000000.0,6.9,850000000.0,ROUND,229698.0,71,7.14,round,36837895.0,9.46,Round,1501152570
0.00199933,5.18109,7001623.0,23.57,7001623.0,DICE,777405.0,72,2.24,etheroll,36276037.0,15.29,Etheroll,1501152581
0.00002385,0.0617966,800000000.0,,560000000.0,PLR,71873.1,73,-0.61,pillar,34606096.0,-11.1,Pillar,1501152588
0.00038798,1.00543,33390496.0,102.33,33390496.0,VSL,266610.0,74,0.42,vslice,33571806.0,18.15,vSlice,1501152575
0.00000045,0.00116704,28573097096.0,-0.65,28573097096.0,RDD,165648.0,75,2.52,reddcoin,33345947.0,3.67,ReddCoin,1501152545
0.0105143,27.2468,2222991.0,-18.69,1222991.0,NMR,195402.0,76,-0.88,numeraire,33322597.0,1.16,Numeraire,1501152583
0.00015732,0.407683,86999785.0,11.71,79070793.0,RLC,192890.0,77,0.95,rlc,32235818.0,0.18,iExec RLC,1501152579
0.00013238,0.343044,100000000.0,-1.31,89708333.0,WINGS,177505.0,78,1.91,wings,30773905.0,1.82,Wings,1501152573
0.00008596,0.22277,127110892.0,7.71,127110892.0,XAUR,131246.0,79,1.04,xaurum,28316494.0,5.51,Xaurum,1501152554
0.0182192,47.2133,749400.0,0.23,599400.0,MLN,192283.0,80,0.73,melon,28299652.0,0.51,Melon,1501152575
0.00015781,0.408941,424999998.0,6.39,68476994.0,STORJ,194563.0,81,0.81,storj,28003050.0,3.63,Storj,1501152584
0.00015599,0.404231,466424524.0,17.48,68524524.0,LBC,1991360.0,82,3.06,library-credit,27699737.0,4.18,LBRY Credits,1501152563
0.00006473,0.167745,184190414.0,10.87,162858414.0,HMQ,345048.0,83,1.19,humaniq,27318685.0,7.58,Humaniq,1501152580
0.0006996,1.81296,14736400.0,-10.3,14736400.0,NMC,97487.1,84,1.76,namecoin,26716504.0,-2.18,Namecoin,1501152541
0.00002908,0.0753505,451787700.0,-9.53,349767545.0,NLG,109123.0,85,-0.34,gulden,26355159.0,-2.3,Gulden,1501152547
0.00018833,0.488031,52807275.0,10.17,52807275.0,MONA,57807.1,86,0.37,monacoin,25771587.0,-4.11,MonaCoin,1501152546
0.00018446,0.478006,65000000.0,-6.77,52000000.0,QRL,159054.0,87,0.87,quantum-resistant-ledger,24856312.0,12.04,Quantum Resistant Ledger,1501152583
0.00351588,9.11107,2618253.0,5.81,2618253.0,XCP,181329.0,88,2.1,counterparty,23855084.0,9.46,Counterparty,1501152546
0.00241773,6.26531,5469073.0,-8.61,3690337.0,PPY,13284.3,89,1.36,peerplays-ppy,23121108.0,-13.17,Peerplays,1501152582
0.00174668,4.52635,5068656.0,-3.44,5068656.0,CLOAK,234769.0,90,-0.98,cloakcoin,22942511.0,-3.35,CloakCoin,1501152548
0.00004012,0.103969,217412301.0,13.1,217412301.0,POT,693384.0,91,2.02,potcoin,22604140.0,2.79,PotCoin,1501152543
0.00000977,0.0253262,1011211988.0,8.53,886211988.0,EDR,353283.0,92,-0.42,e-dinar-coin,22444382.0,5.8,E-Dinar Coin,1501152566
0.00000849,0.022001,1007629474.0,-9.46,1007629474.0,BAY,74944.0,93,0.17,bitbay,22168856.0,-0.08,BitBay,1501152561
0.00054639,1.4159,15093948.0,-22.16,15093948.0,SIB,67675.8,94,-0.05,sibcoin,21371522.0,-4.05,SIBCoin,1501152562
0.00141141,3.65754,100000000.0,-8.8,5818526.0,SKY,48988.8,95,0.29,skycoin,21281492.0,1.56,Skycoin,1501152578
0.0144898,37.549,615713.0,8.43,559397.0,OMNI,88807.9,96,1.71,omni,21004806.0,7.23,Omni,1501152542
0.00009691,0.251125,100000000.0,36.12,82864312.0,XEL,272656.0,97,1.59,elastic,20809300.0,15.66,Elastic,1501152583
0.00034772,0.901095,22767631.0,-4.95,22767631.0,VIA,347202.0,98,0.71,viacoin,20515798.0,2.35,Viacoin,1501152548
0.00010314,0.267275,100000000.0,15.62,76001556.0,XRL,32906.4,99,-0.3,rialto,20313316.0,16.63,Rialto,1501152587
0.00009236,0.23934,246855127.0,-1.64,81947080.0,QAU,65945.4,100,3.97,quantum,19613214.0,1.19,Quantum,1501152583
0.00009138,0.236795,949291063.0,7.48,82256324.0,AMP,253441.0,101,1.5,synereo,19477886.0,0.75,Synereo,1501152562
0.00001148,0.0297494,5000000000.0,-28.07,651120280.0,SOAR,25886.2,102,1.4,soarcoin,19370438.0,5.94,Soarcoin,1501152576
0.00009614,0.249145,76275260.0,-7.52,76275260.0,BLK,738956.0,103,0.59,blackcoin,19003600.0,8.88,BlackCoin,1501152544
0.00274938,7.12476,2639197.0,-0.01,2639197.0,XZC,189439.0,104,1.14,zcoin,18803645.0,5.26,ZCoin,1501152569
0.00047791,1.23846,20981830.0,69.66,15081830.0,ION,91647.0,105,-1.57,ion,18678243.0,10.53,ION,1501152565
0.00001175,0.0304472,1000000000.0,-7.48,600000000.0,ADT,109731.0,106,4.55,adtoken,18268320.0,10.55,adToken,1501152586
0.00043458,1.12619,15992500.0,-8.48,15992500.0,OBITS,18801.0,107,1.34,obits,18010594.0,10.13,OBITS,1501152565
0.00018519,0.479902,37083947.0,-14.15,37083947.0,VTC,770260.0,108,1.23,vertcoin,17796660.0,7.47,Vertcoin,1501152543
0.00005469,0.141717,124518891.0,16.51,124518891.0,GOLOS,25044.6,109,1.05,golos,17646444.0,6.17,Golos,1501152571
0.00083585,2.16603,8146001.0,24.37,8146001.0,TAAS,149847.0,110,0.5,taas,17644482.0,1.31,TaaS,1501152577
0.00012427,0.322034,53193831.0,-0.09,53193831.0,FAIR,154594.0,111,1.78,faircoin,17130222.0,-19.45,FairCoin,1501152546
0.00216403,5.60789,3020465.0,2.41,3020465.0,YBC,364588.0,112,-0.46,ybcoin,16938437.0,-0.12,YbCoin,1501152543
0.00032889,0.852276,32433366.0,30.47,19429024.0,MYST,154877.0,113,1.44,mysterium,16558891.0,12.96,Mysterium,1501152582
0.00001900,0.0492398,444000000.0,40.36,331360000.0,SNM,200527.0,114,5.01,sonm,16316100.0,11.77,SONM,1501152583
0.00163568,4.23871,3969565.0,8.03,3772587.0,PLBT,67035.1,115,5.38,polybius,15990901.0,8.0,Polybius,1501152585
0.00000340,0.00882245,1806486186.0,-1.18,1806486186.0,BURST,195968.0,116,-0.09,burst,15937634.0,1.94,Burst,1501152550
0.00025673,0.665283,39406760.0,-10.22,23644056.0,TKN,201347.0,117,2.18,tokencard,15729988.0,-4.25,TokenCard,1501152581
0.00000087,0.00225962,6884493555.0,17.97,6884493555.0,XDN,900585.0,118,1.83,digitalnote,15556339.0,7.86,DigitalNote,1501152549
0.000363,0.940681,16352130.0,3.03,16352130.0,IOC,23219.8,119,12.16,iocoin,15382138.0,11.66,I/O Coin,1501152549
0.00001331,0.0344916,8888888888.0,10.25,444444444.0,ECOB,19916.9,120,1.48,ecobit,15329600.0,-0.32,Ecobit,1501152585
0.00000052,0.00135608,11220137562.0,-4.46,11220137562.0,EAC,1174960.0,121,1.3,earthcoin,15215404.0,5.34,EarthCoin,1501152543
0.00051022,1.3222,25000000.0,-14.84,11422939.0,B@,2090.1,122,2.2,bankcoin,15103410.0,4.59,Bankcoin,1501152577
0.00009283,0.24055,61544604.0,-4.95,61544604.0,NAV,81239.7,123,2.74,nav-coin,14804555.0,6.88,NAV Coin,1501152547
0.00124548,3.22754,110000000.0,4.19,4528999.0,FRST,75915.0,124,-0.44,firstcoin,14617527.0,2.43,FirstCoin,1501152574
0.00540001,13.9936,1008656.0,14.77,1008656.0,DBIX,126461.0,125,1.7,dubaicoin-dbix,14114729.0,5.43,DubaiCoin,1501152578
0.00000396,0.0102657,1524840478.0,70.89,1374840478.0,MUSE,7903.49,126,1.11,bitshares-music,14113700.0,7.68,MUSE,1501152554
0.00000252,0.0065324,2147483647.0,0.77,2147483647.0,SAFEX,258770.0,127,-0.9,safe-exchange-coin,14028222.0,-5.38,Safe Exchange Coin,1501152560
0.00002921,0.0757031,200000000.0,-0.11,183000000.0,WGR,45182.4,128,3.86,wagerr,13853667.0,15.73,Wagerr,1501152585
0.00068815,1.78328,16690479.0,0.51,7690479.0,EXP,114895.0,129,1.51,expanse,13714277.0,5.96,Expanse,1501152558
0.00002508,0.0650007,210000000.0,14.37,210000000.0,VOX,628187.0,130,1.08,voxels,13650147.0,15.22,Voxels,1501152562
0.120973,313.489,48770.0,-50.02,42770.0,COE,476229.0,131,-0.02,coeval,13407925.0,-42.12,CoEval,1501152588
0.00002430,0.0629704,212286335.0,120.23,212286335.0,EMC2,4921770.0,132,13.08,einsteinium,13367755.0,84.49,Einsteinium,1501152545
0.00154113,3.9937,3303802.0,18.73,3303802.0,RADS,69655.8,133,1.89,radium,13194395.0,3.9,Radium,1501152560
0.00002521,0.0653184,10000000000.0,7.46,202000000.0,UNY,39780.6,134,2.07,unity-ingot,13194317.0,4.64,Unity Ingot,1501152580
0.00005360,0.138898,100000000.0,-1.26,92147500.0,TRST,133776.0,135,1.29,trust,12799103.0,1.76,WeTrust,1501152580
0.000117,0.303195,42000000.0,6.81,42000000.0,AGRS,5991.06,136,1.4,agoras-tokens,12734190.0,1.74,Agoras Tokens,1501152557
